Prefix,Description,Charging scheme
813,Smart,Smart
817,Globe,Globe
905,Globe or Touch Mobile,Globe
906,Globe or Touch Mobile,Globe
907,Smart or Talk N Text,Smart
908,Smart or Talk N Text,Smart
909,Smart or Talk N Text,Smart
910,Smart or Talk N Text,Smart
912,Smart or Talk n Text,Smart
915,Globe or Touch Mobile,Globe
916,Globe or Touch Mobile,Globe
917,Globe,Globe
918,Smart,Smart
919,Smart or Talk n Text,Smart
920,"Smart, Talk N Text, Addict Mobile",Smart
921,Smart or Talk N Text,Smart
922,Sun Cellular,Sun
923,Sun Cellular,Sun
925,Sun Cellular,Sun
926,Globe or Touch Mobile,Globe
927,Globe or Touch Mobile,Globe
928,Smart or Talk N Text,Smart
929,Smart or Talk N Text,Smart
930,"Smart, Talk N Text, Red Mobile",Smart
932,Sun Cellular,Sun
933,Sun Cellular,Sun
934,Sun Cellular,Sun
935,Globe or Touch Mobile,Globe
936,Globe or Touch Mobile,Globe
937,Globe or Touch Mobile,Globe
938,"Smart, Talk N Text, Red Mobile",Smart
939,"Smart, Talk N Text, Red Mobile",Smart
942,Sun Cellular,Sun
943,Sun Cellular,Sun
946,Talk N Text,Smart
947,Smart,Smart
948,Smart or Talk N Text,Smart
949,Smart or Talk N Text,Smart
973,Extelcom,Unsupported
974,Extelcom,Unsupported
977,Next Mobile,Unsupported
979,Next Mobile,Unsupported
989,Smart or Talk N Text,Smart
994,Globe,Globe
996,Globe or Touch Mobile,Globe
997,Globe or Touch Mobile,Globe
998,Smart,Smart
999,Smart (old Umobile prefix),Smart
